OBJECTID,SubSymbol,Period,Years_before,Period_c,Main_Rock_Type,Photo_Ref_no,Main_Rock_Type_c,Years_before_c,Photo1,Photo2,Photo3,Photo1_link,Photo2_link,Photo3_link
276,KP,Cretaceous,65-145,白堊系,Red conglomerate and coarse sandstone with siltstone,"17,18&19",紅色礫岩和粗砂岩夾粉砂岩,65-145,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Siltstone_1.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Sandstone_2.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Breccia.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Siltstone_1.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Sandstone_2.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Breccia.png
277,KP,Cretaceous,65-145,白堊系,Red conglomerate and coarse sandstone with siltstone,"17,18&19",紅色礫岩和粗砂岩夾粉砂岩,65-145,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Siltstone_1.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Sandstone_2.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Breccia.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Siltstone_1.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Sandstone_2.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Breccia.png
278,KP,Cretaceous,65-145,白堊系,Red conglomerate and coarse sandstone with siltstone,"17,18&19",紅色礫岩和粗砂岩夾粉砂岩,65-145,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Siltstone_1.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Sandstone_2.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Breccia.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Siltstone_1.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Sandstone_2.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Breccia.png
279,KP,Cretaceous,65-145,白堊系,Red conglomerate and coarse sandstone with siltstone,"17,18&19",紅色礫岩和粗砂岩夾粉砂岩,65-145,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Siltstone_1.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Sandstone_2.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Breccia.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Siltstone_1.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Sandstone_2.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Breccia.png
281,KP,Cretaceous,65-145,白堊系,Red conglomerate and coarse sandstone with siltstone,"17,18&19",紅色礫岩和粗砂岩夾粉砂岩,65-145,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Siltstone_1.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Sandstone_2.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Breccia.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Siltstone_1.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Sandstone_2.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Breccia.png
282,KP,Cretaceous,65-145,白堊系,Red conglomerate and coarse sandstone with siltstone,"17,18&19",紅色礫岩和粗砂岩夾粉砂岩,65-145,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Siltstone_1.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Sandstone_2.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Breccia.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Siltstone_1.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Sandstone_2.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Breccia.png
283,KP,Cretaceous,65-145,白堊系,Red conglomerate and coarse sandstone with siltstone,"17,18&19",紅色礫岩和粗砂岩夾粉砂岩,65-145,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Siltstone_1.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Sandstone_2.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Breccia.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Siltstone_1.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Sandstone_2.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Breccia.png
284,KP,Cretaceous,65-145,白堊系,Red conglomerate and coarse sandstone with siltstone,"17,18&19",紅色礫岩和粗砂岩夾粉砂岩,65-145,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Siltstone_1.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Sandstone_2.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Breccia.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Siltstone_1.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Sandstone_2.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Breccia.png
285,KP,Cretaceous,65-145,白堊系,Red conglomerate and coarse sandstone with siltstone,"17,18&19",紅色礫岩和粗砂岩夾粉砂岩,65-145,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Siltstone_1.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Sandstone_2.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Breccia.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Siltstone_1.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Sandstone_2.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Breccia.png
286,KT,Cretaceous,65-145,白堊系,Tuff and Lava,13&14,凝灰岩及熔岩,65-145,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Eutaxitic Fine Ash Vitric Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Rhyolite Lava.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Eutaxitic Fine Ash Vitric Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Rhyolite Lava.png,
287,KT,Cretaceous,65-145,白堊系,Tuff and Lava,13&14,凝灰岩及熔岩,65-145,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Eutaxitic Fine Ash Vitric Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Rhyolite Lava.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Eutaxitic Fine Ash Vitric Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Rhyolite Lava.png,
288,KT,Cretaceous,65-145,白堊系,Tuff and Lava,13&14,凝灰岩及熔岩,65-145,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Eutaxitic Fine Ash Vitric Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Rhyolite Lava.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Eutaxitic Fine Ash Vitric Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Rhyolite Lava.png,
289,KT,Cretaceous,65-145,白堊系,Tuff and Lava,13&14,凝灰岩及熔岩,65-145,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Eutaxitic Fine Ash Vitric Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Rhyolite Lava.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Eutaxitic Fine Ash Vitric Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Rhyolite Lava.png,
290,KT,Cretaceous,65-145,白堊系,Tuff and Lava,13&14,凝灰岩及熔岩,65-145,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Eutaxitic Fine Ash Vitric Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Rhyolite Lava.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Eutaxitic Fine Ash Vitric Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Rhyolite Lava.png,
291,KT,Cretaceous,65-145,白堊系,Tuff and Lava,13&14,凝灰岩及熔岩,65-145,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Eutaxitic Fine Ash Vitric Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Rhyolite Lava.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Eutaxitic Fine Ash Vitric Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Rhyolite Lava.png,
292,KT,Cretaceous,65-145,白堊系,Tuff and Lava,13&14,凝灰岩及熔岩,65-145,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Eutaxitic Fine Ash Vitric Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Rhyolite Lava.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Eutaxitic Fine Ash Vitric Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Rhyolite Lava.png,
293,KT,Cretaceous,65-145,白堊系,Tuff and Lava,13&14,凝灰岩及熔岩,65-145,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Eutaxitic Fine Ash Vitric Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Rhyolite Lava.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Eutaxitic Fine Ash Vitric Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Rhyolite Lava.png,
294,KT,Cretaceous,65-145,白堊系,Tuff and Lava,13&14,凝灰岩及熔岩,65-145,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Eutaxitic Fine Ash Vitric Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Rhyolite Lava.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Eutaxitic Fine Ash Vitric Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Rhyolite Lava.png,
295,KT,Cretaceous,65-145,白堊系,Tuff and Lava,13&14,凝灰岩及熔岩,65-145,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Eutaxitic Fine Ash Vitric Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Rhyolite Lava.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Eutaxitic Fine Ash Vitric Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Rhyolite Lava.png,
296,KT,Cretaceous,65-145,白堊系,Tuff and Lava,13&14,凝灰岩及熔岩,65-145,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Eutaxitic Fine Ash Vitric Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Rhyolite Lava.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Eutaxitic Fine Ash Vitric Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Rhyolite Lava.png,
297,KT,Cretaceous,65-145,白堊系,Tuff and Lava,13&14,凝灰岩及熔岩,65-145,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Eutaxitic Fine Ash Vitric Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Rhyolite Lava.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Eutaxitic Fine Ash Vitric Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Rhyolite Lava.png,
298,KT,Cretaceous,65-145,白堊系,Tuff and Lava,13&14,凝灰岩及熔岩,65-145,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Eutaxitic Fine Ash Vitric Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Rhyolite Lava.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Eutaxitic Fine Ash Vitric Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Rhyolite Lava.png,
301,KT,Cretaceous,65-145,白堊系,Tuff and Lava,13&14,凝灰岩及熔岩,65-145,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Eutaxitic Fine Ash Vitric Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Rhyolite Lava.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Eutaxitic Fine Ash Vitric Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Rhyolite Lava.png,
302,KT,Cretaceous,65-145,白堊系,Tuff and Lava,13&14,凝灰岩及熔岩,65-145,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Eutaxitic Fine Ash Vitric Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Rhyolite Lava.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Eutaxitic Fine Ash Vitric Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Rhyolite Lava.png,
303,KT,Cretaceous,65-145,白堊系,Tuff and Lava,13&14,凝灰岩及熔岩,65-145,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Eutaxitic Fine Ash Vitric Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Rhyolite Lava.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Eutaxitic Fine Ash Vitric Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Rhyolite Lava.png,
304,KT,Cretaceous,65-145,白堊系,Tuff and Lava,13&14,凝灰岩及熔岩,65-145,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Eutaxitic Fine Ash Vitric Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Rhyolite Lava.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Eutaxitic Fine Ash Vitric Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Rhyolite Lava.png,
305,KT,Cretaceous,65-145,白堊系,Tuff and Lava,13&14,凝灰岩及熔岩,65-145,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Eutaxitic Fine Ash Vitric Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Rhyolite Lava.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Eutaxitic Fine Ash Vitric Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Rhyolite Lava.png,
307,KT,Cretaceous,65-145,白堊系,Tuff and Lava,13&14,凝灰岩及熔岩,65-145,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Eutaxitic Fine Ash Vitric Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Rhyolite Lava.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Eutaxitic Fine Ash Vitric Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Rhyolite Lava.png,
308,KT,Cretaceous,65-145,白堊系,Tuff and Lava,13&14,凝灰岩及熔岩,65-145,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Eutaxitic Fine Ash Vitric Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Rhyolite Lava.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Eutaxitic Fine Ash Vitric Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Rhyolite Lava.png,
309,KT,Cretaceous,65-145,白堊系,Tuff and Lava,13&14,凝灰岩及熔岩,65-145,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Eutaxitic Fine Ash Vitric Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Rhyolite Lava.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Eutaxitic Fine Ash Vitric Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Rhyolite Lava.png,
310,KT,Cretaceous,65-145,白堊系,Tuff and Lava,13&14,凝灰岩及熔岩,65-145,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Eutaxitic Fine Ash Vitric Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Rhyolite Lava.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Eutaxitic Fine Ash Vitric Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Rhyolite Lava.png,
313,KT,Cretaceous,65-145,白堊系,Tuff and Lava,13&14,凝灰岩及熔岩,65-145,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Eutaxitic Fine Ash Vitric Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Rhyolite Lava.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Eutaxitic Fine Ash Vitric Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Rhyolite Lava.png,
314,KT,Cretaceous,65-145,白堊系,Tuff and Lava,13&14,凝灰岩及熔岩,65-145,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Eutaxitic Fine Ash Vitric Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Rhyolite Lava.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Eutaxitic Fine Ash Vitric Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Rhyolite Lava.png,
315,KT,Cretaceous,65-145,白堊系,Tuff and Lava,13&14,凝灰岩及熔岩,65-145,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Eutaxitic Fine Ash Vitric Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Rhyolite Lava.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Eutaxitic Fine Ash Vitric Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Rhyolite Lava.png,
316,KT,Cretaceous,65-145,白堊系,Tuff and Lava,13&14,凝灰岩及熔岩,65-145,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Eutaxitic Fine Ash Vitric Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Rhyolite Lava.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Eutaxitic Fine Ash Vitric Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Rhyolite Lava.png,
317,KT,Cretaceous,65-145,白堊系,Tuff and Lava,13&14,凝灰岩及熔岩,65-145,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Eutaxitic Fine Ash Vitric Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Rhyolite Lava.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Eutaxitic Fine Ash Vitric Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Rhyolite Lava.png,
318,KT,Cretaceous,65-145,白堊系,Tuff and Lava,13&14,凝灰岩及熔岩,65-145,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Eutaxitic Fine Ash Vitric Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Rhyolite Lava.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Eutaxitic Fine Ash Vitric Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Rhyolite Lava.png,
319,KT,Cretaceous,65-145,白堊系,Tuff and Lava,13&14,凝灰岩及熔岩,65-145,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Eutaxitic Fine Ash Vitric Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Rhyolite Lava.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Eutaxitic Fine Ash Vitric Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Rhyolite Lava.png,
320,KT,Cretaceous,65-145,白堊系,Tuff and Lava,13&14,凝灰岩及熔岩,65-145,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Eutaxitic Fine Ash Vitric Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Rhyolite Lava.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Eutaxitic Fine Ash Vitric Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Rhyolite Lava.png,
321,KT,Cretaceous,65-145,白堊系,Tuff and Lava,13&14,凝灰岩及熔岩,65-145,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Eutaxitic Fine Ash Vitric Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Rhyolite Lava.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Eutaxitic Fine Ash Vitric Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Rhyolite Lava.png,
322,KT,Cretaceous,65-145,白堊系,Tuff and Lava,13&14,凝灰岩及熔岩,65-145,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Eutaxitic Fine Ash Vitric Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Rhyolite Lava.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Eutaxitic Fine Ash Vitric Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Rhyolite Lava.png,
323,KT,Cretaceous,65-145,白堊系,Tuff and Lava,13&14,凝灰岩及熔岩,65-145,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Eutaxitic Fine Ash Vitric Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Rhyolite Lava.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Eutaxitic Fine Ash Vitric Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Rhyolite Lava.png,
324,KT,Cretaceous,65-145,白堊系,Tuff and Lava,13&14,凝灰岩及熔岩,65-145,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Eutaxitic Fine Ash Vitric Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Rhyolite Lava.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Eutaxitic Fine Ash Vitric Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Rhyolite Lava.png,
325,KT,Cretaceous,65-145,白堊系,Tuff and Lava,13&14,凝灰岩及熔岩,65-145,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Eutaxitic Fine Ash Vitric Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Rhyolite Lava.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Eutaxitic Fine Ash Vitric Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Rhyolite Lava.png,
326,KT,Cretaceous,65-145,白堊系,Tuff and Lava,13&14,凝灰岩及熔岩,65-145,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Eutaxitic Fine Ash Vitric Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Rhyolite Lava.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Eutaxitic Fine Ash Vitric Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Rhyolite Lava.png,
327,KT,Cretaceous,65-145,白堊系,Tuff and Lava,13&14,凝灰岩及熔岩,65-145,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Eutaxitic Fine Ash Vitric Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Rhyolite Lava.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Eutaxitic Fine Ash Vitric Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Rhyolite Lava.png,
328,KT,Cretaceous,65-145,白堊系,Tuff and Lava,13&14,凝灰岩及熔岩,65-145,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Eutaxitic Fine Ash Vitric Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Rhyolite Lava.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Eutaxitic Fine Ash Vitric Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Rhyolite Lava.png,
329,KT,Cretaceous,65-145,白堊系,Tuff and Lava,13&14,凝灰岩及熔岩,65-145,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Eutaxitic Fine Ash Vitric Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Rhyolite Lava.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Eutaxitic Fine Ash Vitric Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Rhyolite Lava.png,
330,KT,Cretaceous,65-145,白堊系,Tuff and Lava,13&14,凝灰岩及熔岩,65-145,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Eutaxitic Fine Ash Vitric Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Rhyolite Lava.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Eutaxitic Fine Ash Vitric Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Rhyolite Lava.png,
331,KT,Cretaceous,65-145,白堊系,Tuff and Lava,13&14,凝灰岩及熔岩,65-145,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Eutaxitic Fine Ash Vitric Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Rhyolite Lava.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Eutaxitic Fine Ash Vitric Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Rhyolite Lava.png,
332,KT,Cretaceous,65-145,白堊系,Tuff and Lava,13&14,凝灰岩及熔岩,65-145,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Eutaxitic Fine Ash Vitric Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Rhyolite Lava.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Eutaxitic Fine Ash Vitric Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Rhyolite Lava.png,
333,KT,Cretaceous,65-145,白堊系,Tuff and Lava,13&14,凝灰岩及熔岩,65-145,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Eutaxitic Fine Ash Vitric Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Rhyolite Lava.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Eutaxitic Fine Ash Vitric Tuff.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Rhyolite Lava.png,
