As of date,As of time,Quarantine centres,Address,Capacity (unit),Current unit in use,Current person in use,Ready to be used (unit)
29/06/2020,9:00,Chai Wan Lei Yue Mun Park and Holiday Village,"75 Chai Wan Road, Hong Kong",379,137,225,186
30/06/2020,9:00,JPC Permanent Activity Centre and Integrated Youth Training Camp,"No. 123 Fam Kam Road, Pat Heung, Yuen Long",205,0,0,170
30/06/2020,9:00,Chun Yeung Estate,"Wong Chuk Yeung Street, Fo Tan",1739,711,1561,632
30/06/2020,9:00,Chai Wan Lei Yue Mun Park and Holiday Village,"75 Chai Wan Road, Hong Kong",379,135,220,193
01/07/2020,9:00,JPC Permanent Activity Centre and Integrated Youth Training Camp,"No. 123 Fam Kam Road, Pat Heung, Yuen Long",205,0,0,172
01/07/2020,9:00,Chun Yeung Estate,"Wong Chuk Yeung Street, Fo Tan",1739,845,1879,537
01/07/2020,9:00,Chai Wan Lei Yue Mun Park and Holiday Village,"75 Chai Wan Road, Hong Kong",379,135,216,192
02/07/2020,9:00,JPC Permanent Activity Centre and Integrated Youth Training Camp,"No. 123 Fam Kam Road, Pat Heung, Yuen Long",205,0,0,186
02/07/2020,9:00,Chun Yeung Estate,"Wong Chuk Yeung Street, Fo Tan",1739,853,1906,526
02/07/2020,9:00,Chai Wan Lei Yue Mun Park and Holiday Village,"75 Chai Wan Road, Hong Kong",379,139,220,191
03/07/2020,9:00,JPC Permanent Activity Centre and Integrated Youth Training Camp,"No. 123 Fam Kam Road, Pat Heung, Yuen Long",205,0,0,186
03/07/2020,9:00,Chun Yeung Estate,"Wong Chuk Yeung Street, Fo Tan",1739,829,1845,516
03/07/2020,9:00,Chai Wan Lei Yue Mun Park and Holiday Village,"75 Chai Wan Road, Hong Kong",379,138,219,193
04/07/2020,9:00,JPC Permanent Activity Centre and Integrated Youth Training Camp,"No. 123 Fam Kam Road, Pat Heung, Yuen Long",205,0,0,186
04/07/2020,9:00,Chun Yeung Estate,"Wong Chuk Yeung Street, Fo Tan",1739,723,1616,603
04/07/2020,9:00,Chai Wan Lei Yue Mun Park and Holiday Village,"75 Chai Wan Road, Hong Kong",379,136,217,206
05/07/2020,9:00,JPC Permanent Activity Centre and Integrated Youth Training Camp,"No. 123 Fam Kam Road, Pat Heung, Yuen Long",205,150,229,31
05/07/2020,9:00,Chun Yeung Estate,"Wong Chuk Yeung Street, Fo Tan",1739,538,1215,690
05/07/2020,9:00,Chai Wan Lei Yue Mun Park and Holiday Village,"75 Chai Wan Road, Hong Kong",379,154,270,164
06/07/2020,9:00,JPC Permanent Activity Centre and Integrated Youth Training Camp,"No. 123 Fam Kam Road, Pat Heung, Yuen Long",205,136,224,31
06/07/2020,9:00,Chun Yeung Estate,"Wong Chuk Yeung Street, Fo Tan",1739,740,1646,489
06/07/2020,9:00,Chai Wan Lei Yue Mun Park and Holiday Village,"75 Chai Wan Road, Hong Kong",379,154,274,182
07/07/2020,9:00,JPC Permanent Activity Centre and Integrated Youth Training Camp,"No. 123 Fam Kam Road, Pat Heung, Yuen Long",205,135,221,28
07/07/2020,9:00,Chun Yeung Estate,"Wong Chuk Yeung Street, Fo Tan",1739,587,1283,470
07/07/2020,9:00,Chai Wan Lei Yue Mun Park and Holiday Village,"75 Chai Wan Road, Hong Kong",379,166,290,171
08/07/2020,9:00,JPC Permanent Activity Centre and Integrated Youth Training Camp,"No. 123 Fam Kam Road, Pat Heung, Yuen Long",205,159,246,7
08/07/2020,9:00,Chun Yeung Estate,"Wong Chuk Yeung Street, Fo Tan",1739,608,1368,427
08/07/2020,9:00,Chai Wan Lei Yue Mun Park and Holiday Village,"75 Chai Wan Road, Hong Kong",379,186,313,149
09/07/2020,9:00,JPC Permanent Activity Centre and Integrated Youth Training Camp,"No. 123 Fam Kam Road, Pat Heung, Yuen Long",205,158,247,9
09/07/2020,9:00,Chun Yeung Estate,"Wong Chuk Yeung Street, Fo Tan",1739,633,1399,398
09/07/2020,9:00,Chai Wan Lei Yue Mun Park and Holiday Village,"75 Chai Wan Road, Hong Kong",379,250,394,81
10/07/2020,9:00,JPC Permanent Activity Centre and Integrated Youth Training Camp,"No. 123 Fam Kam Road, Pat Heung, Yuen Long",205,158,247,9
10/07/2020,9:00,Chun Yeung Estate,"Wong Chuk Yeung Street, Fo Tan",1739,649,1428,374
10/07/2020,9:00,Chai Wan Lei Yue Mun Park and Holiday Village,"75 Chai Wan Road, Hong Kong",379,290,447,19
10/07/2020,9:00,Sai Kung Outdoor Recreation Centre,"Tui Min Hoi Area, Sai Kung",99,0,0,99
11/07/2020,9:00,JPC Permanent Activity Centre and Integrated Youth Training Camp,"No. 123 Fam Kam Road, Pat Heung, Yuen Long",205,161,251,2
11/07/2020,9:00,Chun Yeung Estate,"Wong Chuk Yeung Street, Fo Tan",1739,626,1345,538
11/07/2020,9:00,Chai Wan Lei Yue Mun Park and Holiday Village,"75 Chai Wan Road, Hong Kong",379,214,306,8
11/07/2020,9:00,Sai Kung Outdoor Recreation Centre,"Tui Min Hoi Area, Sai Kung",99,49,65,49
11/07/2020,14:00,JPC Permanent Activity Centre and Integrated Youth Training Camp,"No. 123 Fam Kam Road, Pat Heung, Yuen Long",205,161,251,2
11/07/2020,14:00,Chun Yeung Estate,"Wong Chuk Yeung Street, Fo Tan",1739,809,1744,410
11/07/2020,14:00,Chai Wan Lei Yue Mun Park and Holiday Village,"75 Chai Wan Road, Hong Kong",379,214,306,8
11/07/2020,14:00,Sai Kung Outdoor Recreation Centre,"Tui Min Hoi Area, Sai Kung",99,92,121,0
12/07/2020,9:00,JPC Permanent Activity Centre and Integrated Youth Training Camp,"No. 123 Fam Kam Road, Pat Heung, Yuen Long",205,165,258,4
12/07/2020,9:00,"Chun Yeung Estate (Block 1, 2 and 3)","Wong Chuk Yeung Street, Fo Tan",1569,878,1933,375
12/07/2020,9:00,Chai Wan Lei Yue Mun Park and Holiday Village,"75 Chai Wan Road, Hong Kong",379,207,287,20
12/07/2020,9:00,Sai Kung Outdoor Recreation Centre,"Tui Min Hoi Area, Sai Kung",99,90,118,0
13/07/2020,9:00,JPC Permanent Activity Centre and Integrated Youth Training Camp,"No. 123 Fam Kam Road, Pat Heung, Yuen Long",205,169,263,6
13/07/2020,9:00,"Chun Yeung Estate (Block 1, 2 and 3)","Wong Chuk Yeung Street, Fo Tan",1569,1015,2209,290
13/07/2020,9:00,Chai Wan Lei Yue Mun Park and Holiday Village,"75 Chai Wan Road, Hong Kong",379,241,295,18
13/07/2020,9:00,Sai Kung Outdoor Recreation Centre,"Tui Min Hoi Area, Sai Kung",99,90,117,0
14/07/2020,9:00,JPC Permanent Activity Centre and Integrated Youth Training Camp,"No. 123 Fam Kam Road, Pat Heung, Yuen Long",205,173,269,8
14/07/2020,9:00,"Chun Yeung Estate (Block 1, 2 and 3)","Wong Chuk Yeung Street, Fo Tan",1569,982,2004,193
14/07/2020,9:00,Chai Wan Lei Yue Mun Park and Holiday Village,"75 Chai Wan Road, Hong Kong",379,240,328,41
14/07/2020,9:00,Sai Kung Outdoor Recreation Centre,"Tui Min Hoi Area, Sai Kung",99,90,116,0
15/07/2020,9:00,JPC Permanent Activity Centre and Integrated Youth Training Camp,"No. 123 Fam Kam Road, Pat Heung, Yuen Long",205,171,266,9
15/07/2020,9:00,"Chun Yeung Estate (Block 1, 2 and 3)","Wong Chuk Yeung Street, Fo Tan",1567,1003,1954,216
15/07/2020,9:00,Chai Wan Lei Yue Mun Park and Holiday Village,"75 Chai Wan Road, Hong Kong",379,247,345,42
15/07/2020,9:00,Sai Kung Outdoor Recreation Centre,"Tui Min Hoi Area, Sai Kung",99,89,115,0
16/07/2020,9:00,JPC Permanent Activity Centre and Integrated Youth Training Camp,"No. 123 Fam Kam Road, Pat Heung, Yuen Long",205,167,264,8
16/07/2020,9:00,"Chun Yeung Estate (Block 1, 2 and 3)","Wong Chuk Yeung Street, Fo Tan",1567,1088,2046,89
16/07/2020,9:00,Chai Wan Lei Yue Mun Park and Holiday Village,"75 Chai Wan Road, Hong Kong",379,261,375,52
16/07/2020,9:00,Sai Kung Outdoor Recreation Centre,"Tui Min Hoi Area, Sai Kung",99,89,115,4
17/07/2020,9:00,JPC Permanent Activity Centre and Integrated Youth Training Camp,"No. 123 Fam Kam Road, Pat Heung, Yuen Long",205,141,198,5
17/07/2020,9:00,"Chun Yeung Estate (Block 1, 2 and 3)","Wong Chuk Yeung Street, Fo Tan",1567,1165,2145,104
17/07/2020,9:00,Chai Wan Lei Yue Mun Park and Holiday Village,"75 Chai Wan Road, Hong Kong",379,279,400,0
17/07/2020,9:00,Sai Kung Outdoor Recreation Centre,"Tui Min Hoi Area, Sai Kung",99,88,115,5
18/07/2020,9:00,JPC Permanent Activity Centre and Integrated Youth Training Camp,"No. 123 Fam Kam Road, Pat Heung, Yuen Long",205,67,86,24
18/07/2020,9:00,"Chun Yeung Estate (Block 1, 2 and 3)","Wong Chuk Yeung Street, Fo Tan",1567,1249,2266,103
18/07/2020,9:00,Chai Wan Lei Yue Mun Park and Holiday Village,"75 Chai Wan Road, Hong Kong",379,247,334,0
18/07/2020,9:00,Sai Kung Outdoor Recreation Centre,"Tui Min Hoi Area, Sai Kung",99,87,114,4
18/07/2020,9:00,Penny's Bay Quarantine Centre Phase I,"Fantasy Road,Penny's Bay, Lantau Island",100,0,0,100
19/07/2020,9:00,JPC Permanent Activity Centre and Integrated Youth Training Camp,"No. 123 Fam Kam Road, Pat Heung, Yuen Long",205,36,45,69
19/07/2020,9:00,"Chun Yeung Estate (Block 1, 2 and 3)","Wong Chuk Yeung Street, Fo Tan",1554,1084,1884,58
19/07/2020,9:00,Chai Wan Lei Yue Mun Park and Holiday Village,"75 Chai Wan Road, Hong Kong",379,217,291,0
19/07/2020,9:00,Sai Kung Outdoor Recreation Centre,"Tui Min Hoi Area, Sai Kung",99,84,111,4
19/07/2020,9:00,Penny's Bay Quarantine Centre Phase I,"Fantasy Road,Penny's Bay, Lantau Island",100,29,38,65
20/07/2020,9:00,JPC Permanent Activity Centre and Integrated Youth Training Camp,"No. 123 Fam Kam Road, Pat Heung, Yuen Long",205,42,57,84
20/07/2020,9:00,"Chun Yeung Estate (Block 1, 2 and 3)","Wong Chuk Yeung Street, Fo Tan",1554,1119,1940,95
20/07/2020,9:00,Chai Wan Lei Yue Mun Park and Holiday Village,"75 Chai Wan Road, Hong Kong",379,169,231,0
20/07/2020,9:00,Sai Kung Outdoor Recreation Centre,"Tui Min Hoi Area, Sai Kung",99,77,102,15
20/07/2020,9:00,Penny's Bay Quarantine Centre Phase I,"Fantasy Road,Penny's Bay, Lantau Island",100,29,38,64
21/07/2020,9:00,JPC Permanent Activity Centre and Integrated Youth Training Camp,"No. 123 Fam Kam Road, Pat Heung, Yuen Long",205,84,109,57
21/07/2020,9:00,"Chun Yeung Estate (Block 1, 2 and 3)","Wong Chuk Yeung Street, Fo Tan",1575,1093,1814,107
21/07/2020,9:00,Chai Wan Lei Yue Mun Park and Holiday Village,"75 Chai Wan Road, Hong Kong",145,78,113,0
