District,Building name,Last date of residence of the case(s),case_1,case_2,case_3,case_4,case_5,case_6,case_7,case_8,case_9,case_10,case_11,case_12
Yuen Long,Tin Shui Shopping Center (non-residential),19/3/2020,231,,,,,,,,,,,
Tuen Mun,Tuen Mun Parkland Square (non-residential),19/3/2020,244,,,,,,,,,,,
Sai Kung,Ming Tak Shopping Centre (non-residential),19/3/2020,256,,,,,,,,,,,
Central & Western,"Phase 1, IFC (non-residential)",19/3/2020,270,,,,,,,,,,,
Sham Shui Po,67 Broadway (non-residential),19/3/2020,270,101,104 and 156,,,,,,,,,
Sham Shui Po,Cheung Lung Industrial Building (non-residential),19/3/2020,291,,,,,,,,,,,
Kowloon CityÂ ,360 Prince Edward Road (non-residential),19/3/2020,349,,,,,,,,,,,
Eastern,"Maple Mansion, Harbour View Gardens",19/3/2020,249,,,,,,,,,,,
Central & Western,"Evergreen Tower, Western Garden",19/3/2020,238,,,,,,,,,,,
Central & Western,"Po Hing Mansion, 20 Rutter Street",19/3/2020,245,,,,,,,,,,,
Central & Western,Conway Mansion,19/3/2020,194,208,,,,,,,,,,
Central & Western,May Tower,19/3/2020,224,,,,,,,,,,,
Yuen Long,"Shui Lam House, Tin Shui Estate",19/3/2020,231,222,243,285,286,,,,,,,
Sai Kung,31 Wo Tong Kong,19/3/2020,239,178,,,,,,,,,,
Shatin,"Block D, The Grandville",19/3/2020,253,178,,,,,,,,,,
Shatin,"Tower 1, Ma On Shan Centre",19/3/2020,252,195,,,,,,,,,,
Eastern,Tung Lam Court,19/3/2020,237,199,,,,,,,,,,
Eastern,"Lai Wah Mansion, 867-881 King's Road",19/3/2020,250,,,,,,,,,,,
Eastern,"Block Q, Kornhill",19/3/2020,269,,,,,,,,,,,
Southern,"South Bay Road, Repulse Bay",19/3/2020,234,,,,,,,,,,,
Southern,"Block 4, Repulse Bay Garden",19/3/2020,203,,,,,,,,,,,
Sham Shui Po,"Phase 2, Village Gardens",19/3/2020,243,,,,,,,,,,,
Kwai Tsing,"Hong Ping House, Cheung Hong Estate",19/3/2020,233,,,,,,,,,,,
Islands,"Block 5, Tung Chung Crescent",19/3/2020,212,,,,,,,,,,,
Wan Chai ,Sakura Court ,19/3/2020,181,,,,,,,,,,,
Wan Chai,8 Ventris Road,19/3/2020,247,,,,,,,,,,,
Wan Chai,"Beverly Hill, 6 Broadwood Road",19/3/2020,246,,,,,,,,,,,
Wan Chai,Tower 3 The Avenue,19/3/2020,211,,,,,,,,,,,
Wan Chai ,Sakura Court ,19/3/2020,181 and 215,,,,,,,,,,,
Southern,"Block 4, Repulse Bay Garden",19/3/2020,203 and 223,,,,,,,,,,,
Wan Chai,Tower 3 The Avenue,19/3/2020,211 and 214,,,,,,,,,,,
Kwun Tong,"C-Bons International Center, 108 Wai Yip Street (non-residential)",19/3/2020,233,,,,,,,,,,,
Kwai Tsing,Shek Yam Shopping Centre (non-residential),20/3/2020,263,,,,,,,,,,,
Central & Western,97 Hollywood Road (non-residential),20/3/2020,266,158,,,,,,,,,,
Shatin,Union Hospital (non-residential),20/3/2020,317,,,,,,,,,,,
Central & Western,One Exchange Square (non-residential),20/3/2020,339,,,,,,,,,,,
Eastern,Parker33 (non-residential),20/3/2020,339,235,,,,,,,,,,
Central & Western,"Shun On Building, 2 Sands Street",20/3/2020,261,,,,,,,,,,,
Central & Western,SOHO 189,20/3/2020,267,,,,,,,,,,,
Central & Western,"Silvercrest, 24 Macdonnell Road",20/3/2020,265,,,,,,,,,,,
Yuen Long,"Yiu Foo House, Tin Yiu (1) Estate ",20/3/2020,258,,,,,,,,,,,
Southern,No. 4 Stanley Village Road,20/3/2020,225,,,,,,,,,,,
Southern,Repulse Bay Garden,20/3/2020,266,,,,,,,,,,,
Tsuen Wan,"Block C, Luk Yeung Sun Chuen",20/3/2020,229,,,,,,,,,,,
Wong Tai Sin,Tower 7 The Latitude ,20/3/2020,226,,,,,,,,,,,
Kwai Tsing ,"Yam Heng House, Shek Yum Estate",20/3/2020,263,,,,,,,,,,,
Wan Chai,"Tower 1, Hoover Tower",20/3/2020,210,,,,,,,,,,,
Kwai Tsing ,Shek Yam Shopping Centre (non-residential),20/3/2020,263,,,,,,,,,,,
Wong Tai Sin,Kai Tak Garden Shopping Arcade (non-residential),21/3/2020,275,,,,,,,,,,,
Southern,Le Meridien Cyberport (non-residential),21/3/2020,316,,,,,,,,,,,
Shatin,16 Science Park Avenue (non-residential),21/3/2020,333,,,,,,,,,,,
Kowloon City,Cheong Shing Court,21/3/2020,262,,,,,,,,,,,
Sai Kung,Yee Ching House Yee Ming Estate,,"58,128",,,,,,,,,,,
Wan Chai,Envoy Garden,,114,,,,,,,,,,,
Southern,"Block 28, Baguio Villa",,notified by the health authority of Canada and 117,,,,,,,,,,,
Tai Po,"Heng Tai House, Fu Heng Estate",,119,,,,,,,,,,,
Tuen Mun,"On Hei House, Siu Hei Court",,120,,,,,,,,,,,
Sha Tin,"Mau Lam House, Kwong Lam Court",,122,178,,,,,,,,,,
Tsuen Wan,"Tower 7, Bellagio",,123,178,,,,,,,,,,
Kwun Tong,"Block T, Telford Gardens",,125,195,,,,,,,,,,
Kwun Tong,"Block 26, Phase 2, Laguna City",,126,199,,,,,,,,,,
Kwai Tsing,iPlace,,130,158,,,,,,,,,,
Central & Western,"Serene Court, 35 Sai Ning Street",,132,,,,,,,,,,,
Tai Po,"Ng Tung Chai, Lam Tsuen",,134,,,,,,,,,,,
Central & Western,View Villa,,135,,,,,,,,,,,
Southern,18 Stanley Main Street,,136,,,,,,,,,,,
Wan Chai,"Block A, Tai Hang Terrace",,137,,,,,,,,,,,
Eastern,Cornell Centre,,139,,,,,,,,,,,
Sai Kung,684 Clear Water Bay Road,,141,,,,,,,,,,,
Kwai Tsing,Tivoli Garden,,142,,,,,,,,,,,
North,"Lai Ming House, Wah Ming Estate",,143,,,,,,,,,,,
Sai Kung,The Palisades,,145,,,,,,,,,,,
Eastern,Fort Mansion,,146,,,,,,,,,,,
Central & Western,"Kellett View Town Houses, 65 Mount Kellett Road",,147,,,,,,,,,,,
Southern,"Wah Cheong House, Wah Fu 2 Estate",,149,,,,,,,,,,,
Yau Tsim Mong,Hotel ICON,,150,121,244,,,,,,,,,
Yau Tsim Mong,"Block A, Chungking Mansions",,151,,,,,,,,,,,
Tuen Mun,"Tower 1, Oceania Heights",,152,217,,,,,,,,,,
Shatin,"Block 10, Pristine Villa",,153,243,,,,,,,,,,
Kowloon City,8 Hok Ling Street,,154,,,,,,,,,,,
Wong Tai Sin,"Lung Chu House, Lung Poon Court",,155,,,,,,,,,,,
Central & Western,Island Shangri-La,,156,,,,,,,,,,,
Tai Po,"Block 16, Mayfair By The Sea",,157,,,,,,,,,,,
Southern,The Redhill Peninsula,,160,337,338,,,,,,,,,
Tuen Mun,"Block 4, Tuen Mun Town Plaza",,161,,,,,,,,,,,
Yau Tsim Mong,"Tower 7, the Coronation",,162,,,,,,,,,,,
Central & Western,"Emerald Garden, 86 Pok Fu Lam Road",,163,,,,,,,,,,,
Wong Tai Sin,"Choi Wah House, Choi Fai Estate",,167,,,,,,,,,,,
Wan Chai,"Tower 2, the Zenith",,168,,,,,,,,,,,
Eastern,Hyatt Centric Victoria Harbour Hong Kong,,169,343,,,,,,,,,,
Eastern,"Block 2, Island Resort",,170,343,,,,,,,,,,
Shatin,"Block 8, Saddle Ridge Garden",,171,,,,,,,,,,,
Shatin,Hong Kong Sports Institute Athletes' Hostel,,172,178,,,,,,,,,,
Wong Tai Sin,"Oi Wai House, Tsz Oi Court",,173,,,,,,,,,,,
Yau Tsim Mong,"Tower 3, Hampton Place",,174,,,,,,,,,,,
Kwun Tong,"Ying Lai House, Yau Lai Estate",,175,,,,,,,,,,,
Central & Western,Rich View Terrace,,177,,,,,,,,,,,
Central & Western,3A Tregunter Path,,180,,,,,,,,,,,
Wan Chai,Sakura Court,,181,170,,,,,,,,,,
Sai Kung,Tai Mong Tsai Road,,182,,,,,,,,,,,
Central & Western,"Seymour Place,60 Robinson Road",,183,,,,,,,,,,,
Southern,"Block 47, Baguio Villa",,184,,,,,,,,,,,
Wan Chai,"King Cheung Mansion, 5 King Kwong Street",,185,,,,,,,,,,,
Eastern,"Block 1, Island Resort",,186,,,,,,,,,,,
Sham Shui Po,E hotel Hong Kong,,190,,,,,,,,,,,
Shatin,"Block C, Sunshine City",,191,,,,,,,,,,,
Yau Tsim Mong,Hang Yue Court,,192,176,,,,,,,,,,
Tuen Mun,Pentahotel Hong Kong,,193,,,,,,,,,,,
Central & Western,Conway Mansion,,194,,,,,,,,,,,
Kowloon City,Hang Tak Yuen,,195,,,,,,,,,,,
Kwai Tsing,"Kwai On House, Kwai Fong Estate",,196,,,,,,,,,,,
Sai Kung,"Kwong Ning House, Kwong Ming Court",,198,,,,,,,,,,,
Yau Tsim Mong,26 Kimberley Road,,199,,,,,,,,,,,
Yau Tsim Mong,Imperial Hotel,,200,,,,,,,,,,,
Yuen Long,Pak Sha Tsuen,,201,,,,,,,,,,,
Southern,"Block 4, Repulse Bay Garden",,203,,,,,,,,,,,
Shatin,"Court B, Tower 3, Dragons Range",,204,,,,,,,,,,,
Sai Kung,"Tower 2, The Capitol, Lohas Park",,205,,,,,,,,,,,
Southern,46 Island Road,,206,217,,,,,,,,,,
Central & Western,"Tower 1, Hillsborough Court",,207,243,,,,,,,,,,
Central & Western,20 Square Street,,208,,,,,,,,,,,
Yau Tsim Mong,K11 ARTUS,,209,,,,,,,,,,,
Wan Chai,"Tower 1, Hoover Tower",,210,,,,,,,,,,,
Wan Chai,Tower 3 The Avenue,,211,,,,,,,,,,,
Islands,"Block 5, Tung Chung Crescent",,212,,,,,,,,,,,
Wan Chai,Villa Monte Rosa,,216,,,,,,,,,,,
Central & Western,1 High Street,,217,,,,,,,,,,,
Wan Chai,70 Tin Hau Temple Road,,218,,,,,,,,,,,
Tsuen Wan,"Block 5, The Summit Terrace",,219,,,,,,,,,,,
Tsuen Wan,Tower 1 Vision City,,220,,,,,,,,,,,
Sham Shui Po,"Yee Kok Court, Yee Tai House",,221,,,,,,,,,,,
Central & Western,May Tower,,224,,,,,,,,,,,
Southern,No. 4 Stanley Village Road,,225,,,,,,,,,,,
Southern,"Tower 3, The Repulse Bay",,226,,,,,,,,,,,
Wong Tai Sin,Tower 7 The Latitude,,226,,,,,,,,,,,
Kowloon City,"Tower 3, Green Wood Laguna Verde",,227,,,,,,,,,,,
Kowloon City,8 Hok Ling Street,,228,,,,,,,,,,,
Tsuen Wan,"Block C, Luk Yeung Sun Chuen",,229,,,,,,,,,,,
Wan Chai,St. Regis Hong Kong,,230,,,,,,,,,,,
Yuen Long,"Shui Lam House, Tin Shui Estate",,231,,,,,,,,,,,
North,"Tower 1, Green Code",,232,,,,,,,,,,,
Kwai Tsing,"Hong Ping House, Cheung Hong Estate",,233,,,,,,,,,,,
Southern,"South Bay Road, Repulse Bay",,234,,,,,,,,,,,
Wan Chai,The Emperor Hotel,,236,,,,,,,,,,,
Eastern,Tung Lam Court,,237,,,,,,,,,,,
Central & Western,"Evergreen Tower, Western Garden",,238,339,,,,,,,,,,
Sai Kung,31 Wo Tong Kong,,239,183,204,,,,,,,,,
Shatin,"Tower 1, BayshoreTowers",,240,,,,,,,,,,,
Kowloon City,"Hibiscus House, Ma Tau Wai Estate",,242,,,,,,,,,,,
Sham Shui Po,"Phase 2, Village Gardens",,243,,,,,,,,,,,
Tuen Mun,"Tip Sum House, Butterfly Estate",,244,,,,,,,,,,,
Central & Western,"Po Hing Mansion, 20 Rutter Street",,245,,,,,,,,,,,
Wan Chai,"Block C, Beverly Hill, 6 Broadwood Road",,246,,,,,,,,,,,
Wan Chai,8 Ventris Road,,247,,,,,,,,,,,
Eastern,"Maple Mansion, Harbour View Gardens",,249,,,,,,,,,,,
Eastern,"Lai Wah Mansion, 867-881 King's Road",,250,,,,,,,,,,,
Central & Western,The Nova,,251,,,,,,,,,,,
Shatin,"Tower 1, Ma On Shan Centre",,252,,,,,,,,,,,
Shatin,"Block D, The Grandville",,253,,,,,,,,,,,
Tuen Mun,"Hing Fai House, Tai Hing Estate",,255,,,,,,,,,,,
Eastern,Viking Villas,,260,,,,,,,,,,,
Central & Western,"Shun On Building, 2 Sands Street",,261,,,,,,,,,,,
Kowloon City,Cheong Shing Court,,262,256,,,,,,,,,,
Kwai Tsing,"Yam Heng House, Shek Yum Estate",,263,,,,,,,,,,,
Wan Chai,Sakura Court,,264,,,,,,,,,,,
Central & Western,"Silvercrest, 24 Macdonnell Road",,265,,,,,,,,,,,
Southern,Repulse Bay Garden,,266,,,,,,,,,,,
Central & Western,SOHO 189,,267,,,,,,,,,,,
Eastern,"Block Q, Kornhill",,269,,,,,,,,,,,
Sham Shui Po,"Block 23, Phase 1, Mei Foo Sun Cheun",,270,,,,,,,,,,,
Yau Tsim Mong,"Block 4, Prosperous Garden",,272,,,,,,,,,,,
Yau Tsim Mong,"Block B, Hoi Lam House, Hoi Fu Court",,273,222,,,,,,,,,,
Kwun Tong,Dorsett Kwun Tong,,274,,,,,,,,,,,
Wong Tai Sin,Kai Tak Garden,,275,,,,,,,,,,,
Wan Chai,Hang Shun Mansions,,276,,,,,,,,,,,
Wan Chai,307 Jaffe Road,,277,,,,,,,,,,,
Wan Chai,Tagus Residences,,278,,,,,,,,,,,
Islands,"Woodland Court, Parkvale Village",,279,,,,,,,,,,,
Central & Western,Chi Residences 120,,281,,,,,,,,,,,
Central & Western,208 Hollywood Road,,282,264,,,,,,,,,,
Southern,L'Hoel Island South,,283,,,,,,,,,,,
Sha Tin,"Block 6, Bayshore Towers",,284,,,,,,,,,,,
Yau Tsim Mong,"Tower 7, The Long Beach",,285,,,,,,,,,,,
Sai Kung,Pak Kong Au Road,,286,,,,,,,,,,,
Tsuen Wan,Indi Home,,287,,,,,,,,,,,
Kwai Tsing,"On Hoi House, Cheung On Estate",,287,183,204,,,,,,,,,
Eastern,"Block 6, Provident Centre",,288,,,,,,,,,,,
Eastern,"On Hiu Mansion, Lei King Wan",,289,,,,,,,,,,,
Southern,Ovolo Southside,,290,,,,,,,,,,,
Southern,"Chun Tak House, Lung Tak Court",,291,,,,,,,,,,,
Wan Chai,Rosedale Hotel Hong Kong,,292,,,,,,,,,,,
Wan Chai,Monmouth Villa,,293,,,,,,,,,,,
Yuen Long,"Heng Moon House, Tin Heng Estate",,294,,,,,,,,,,,
Tsuen Wan,City Point,,295,,,,,,,,,,,
North,Fanling Wai South,,296,,,,,,,,,,,
Eastern,Ramada Hong Kong Grand View,,297,,,,,,,,,,,
North,"Lai Ming House, Wah Ming Estate",,298,,,,,,,,,,,
Kowloon City,"Tower 3, Harbour View Horizon Hotel",,299,,,,,,,,,,,
Yau Tsim Mong,Rosedale Hotel Kowloon,,300,,,,,,,,,,,
Shatin,"Fook Lam House, Kwong Lam Court",,301,,,,,,,,,,,
Shatin,Athlete's Hostel in HK Sports Institues,,302,,,,,,,,,,,
Eastern,Tung Lam Court,,303,,,,,,,,,,,
Eastern,191-193 Shau Kei Wan Road,,306,,,,,,,,,,,
Kwun Tong,"Tak Shui House, Tak Tin Estate",,308,,,,,,,,,,,
Wan Chai,"Celeste Court, Fung Fai Terrace",,309,,,,,,,,,,,
Central & Western,Valiant Park,,310,,,,,,,,,,,
Kowloon City,8 Hok Ling Street,,311,,,,,,,,,,,
Kwai Tsing,"Kwai Yat House, Kwai Hong Court",,312,,,,,,,,,,,
Yau Tsim Mong,Lyton Building,,313,,,,,,,,,,,
Sham Shui Po,"Yee Tai House, Yee Kok Court",,314,,,,,,,,,,,
Central & Western,Wise Mansion,,315,,,,,,,,,,,
Southern,Le Meridien Cyberport,,316,,,,,,,,,,,
Sai Kung,Marina Cov,,317, 183 and 204,,,,,,,,,,
Southern,"Block 4, Aqua 33",,318,,,,,,,,,,,
Central &Western,"Block 8, Hee Wong Terrace, Kennedy Town",,319,,,,,,,,,,,
Tuen Mun,"The Hillgrove, 9 Tsing Fat Lane, Tuen Mun",,320,,,,,,,,,,,
Islands,"Novotel Citygate Hong Kong, Tung Chung",,321,,,,,,,,,,,
Kowloon City,"Stafford Road, Kowloon Tong",,322,,,,,,,,,,,
Kowloon City,25 Stafford Road,,322,,,,,,,,,,,
Kowloon City,"Block 6, Parc Palais, 18 Wylie Road, King's Park",,323,,,,,,,,,,,
Yau Tsim Mong,Rosedale Hotel Kowloon,,324,,,,,,,,,,,
Central &Western,"Vienna Court, Realty Gardens, Mid-levels",,325,,,,,,,,,,,
Southern,"Block D, The Manhattan, Tai Tam",,326,,,,,,,,,,,
Central & Western,"Tower 1, Hillsborough Court, Mid-levels",,327,,,,,,,,,,,
Islands,"Tower 10, the Visionary, Tung Chung",,328,,,,,,,,,,,
Tai Po,"Block 7, Phase 4, Tai Po Centre",,332,312,,,,,,,,,,
Yau Tsim Mong,"Kadoorie Avenue Mansion, 207 Prince Edward Road West",,333,,,,,,,,,,,
Eastern,"Braemar Hill Mansions, 15-43 Braemar Hill Road",,334,,,,,,,,,,,
Yau Tsim Mong,"Best Western Grand Hotel, Tsim Sha Tsui",,335,268,,,,,,,,,,
Kowloon City,"152 Waterloo Road, Kowloon Tong",,336,,,,,,,,,,,
Kwai Tsing,"Mai Ning Building, Kwai Chung",,337,,,,,,,,,,,
Kwai Tsing,"Chau Kwai House, Kwai Chung Estate",,338,,,,,,,,,,,
Eastern,"Wah Hei House, Tung Hei Court, Sai Wan Ho",,339,,,,,,,,,,,
Sai Kung,"Block 1, Park Mediterranean, Sai Kung",,339,,,,,,,,,,,
Eastern,"Sui Fat House, Siu Sai Wan Estate, Chai Wan",,340,,,,,,,,,,,
Wan Chai,"3 Broadwood Road, Happy Valley",,341,,,,,,,,,,,
Southern,"Tung Yip House, Lei Tung Estate, Ap Lei Chau",,342,,,,,,,,,,,
Eastern,"Stayed in Homy Inn, North Point",,342,,,,,,,,,,,
Wan Chai,"Island Building, Wan Chai",,343,,,,,,,,,,,
Central & Western,"Fairlane Tower, Mid-levels",,345,,,,,,,,,,,
Wan Chai,"Po Ming Building, Causeway Bay",,346,223,,,,,,,,,,
Sha Tin,"Block 7, Villa Athena, Ma On Shan",,347,,,,,,,,,,,
Eastern,"Block 3, Fullview Garden, Siu Sai Wan",,348,,,,,,,,,,,
Sha Tin,"Yiu Shun House, Yiu On Estate, Ma On Shan",,349,,,,,,,,,,,
Tai Po,"Block 10, Treasure Spot Garden, Tai Po",,350,215,,,,,,,,,,
Tai Po,"Block 10, Treasure Spot Garden, Tai Po",,351,,,,,,,,,,,
Sai Kung,"Sai Keng Village, Sai Sha Road, Sai Kung",,352,,,,,,,,,,,
Kwun Tong,"Dorsett Kwun Tong Hotel, Kwun Tong",,353,214,230,,,,,,,,,
Central & Western,"53 Hollywood Road, Central",,354,,,,,,,,,,,
Kowloon City,"Tower 3, Costa Del Sol, Laguna Verde",,227,,,,,,,,,,,
Central & Western,"Travelodge Hotel, 263 Hollywood Road",,248,,,,,,,,,,,
Shatin,Athlete's Hotstel in Hong Kong Sports Institutes,,254,,,,,,,,,,,
Sham Shui Po,Mei Foo Sun Chuen Phase I,,270,,,,,,,,,,,
Islands,"Tower 12, Caribbean Coast",,271,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,259,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,213,,,,,,,,,,
,,,,118,,,,,,,,,,
,,,,124,140,,,,,,,,,
,,,,121,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,129,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,127,,,,,,,,,,
,,,,131,133,138,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,148,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,158,,,,,,,,,,
,,,,235,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,222,,,,,,,,,,
,,,,176,,,,,,,,,,
,,,,178,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,215,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,223,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,256,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,214,230,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,264,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,268,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,304,,,,,,,,,,
