District,Building name,Last date of residence of the (s),Related probable/confirmed s,Number of cases
Wan Chai,Southorn Centre (non-residential),23/7/2020,"2268, 2850",2
Yuen Long,Tai Kiu Market (non-residential),23/7/2020,"1471, 1561, 2286",3
Yau Tsim Mong,Tai Kok Tsui Municipal Services Building (non-residential),23/7/2020,2622,1
Wong Tai Sin,Tai Shing Street Market (non-residential),23/7/2020,"1439,1599, 1618, 1757, 1914, 2415, 2423, 2792",8
Kowloon City,Tak Yue Mansion Sweet Wheat Bakery (non-residential),23/7/2020,2296,1
Kwun Tong,Telford Plaza (non-residential),23/7/2020,"1710, 2044, 2345",3
Tai Po,Ting Kok Building (non-residential),23/7/2020,2394,1
Kwun Tong,Tower A Manulife Financial Centre Japanese x Korean Library (non-residential),23/7/2020,2535,1
Tsuen Wan,Tsuen Fung Centre (non-residential),23/7/2020,2689,1
Tsuen Wan,Tsuen Wan Plaza Super Star Chinese Cuisine (non-residential),23/7/2020,2318,1
Wong Tai Sin,Tsz Ching Shopping Centre II (non-residential),23/7/2020,"1552, 1662, 2345, 2349",4
Wong Tai Sin,Tsz Wan Shan Shopping Centre (non-residential),23/7/2020,"1311, 1312, 1404, 1444, 1477, 1491, 1507, 1508, 1520, 1538, 1549, 1555, 1556, 1564, 1565, 1570, 1579, 1583, 1586, 1588, 1601, 1603, 1604, 1622, 1637, 1643, 1667, 1669, 1680, 1683, 1698, 1702, 1703, 1705, 1709, 1719, 1720, 1744, 1757, 1761, 1773, 1775, 1779, 1786, 1819, 1845, 1862, 1896, 1902, 1944, 1956, 1959, 1963, 2006, 2121, 2122, 2123, 2130, 2187, 2237, 2259,2273, 2285, 2298, 2321, 2380, 2428",67
Sham Shui Po,Tung Tak Building (non-residential),23/7/2020,2686,1
Central & Western,Two Chinachem Plaza (non-residential),23/7/2020,2389,1
North,Wah Ming Shopping Centre Imperial Restaurant (non-residential),23/7/2020,2264,1
Wan Chai,Wan Chai Computer Centre (non-residential),23/7/2020,2784,1
Kowloon City,Whampoa Garden Cotton Tree Mansions Block 5 (non-residential),23/7/2020,2349,1
Kowloon City,Yee On Court (non-residential),23/7/2020,"2476, 2722",2
Kowloon City,100 To Kwa Wan Road (non-residential),24/7/2020,3167,1
Sham Shui Po,"126 & 128 Broadway, Stage VIII, Mei Foo Sun Chuen (non-residential)",24/7/2020,3269,1
Central & Western,17-35 Belcher's Street (non-residential),24/7/2020,2768,1
Sham Shui Po,25 Broadway Street May May Restaurant (non-residential),24/7/2020,"2089, 2437",2
Yau Tsim Mong,250-254 Reclamation Street 海記燒臘飯店 (non-residential),24/7/2020,2866,1
Central & Western,34 Mount Kellett Road (non-residential),24/7/2020,2822,1
Sha Tin,41 Tai Wai Village West Lane (non-residential),24/7/2020,3162,1
Sha Tin,89 Chik Fu Street (non-residential),24/7/2020,2583,1
Kwun Tong,Amoy Plaza Pizza Hut (non-residential),24/7/2020,3490,1
Tuen Mun,"Annex Block, Hing Tai House, Tai Hing Estate (non-residential)",24/7/2020,2685,1
Kwun Tong,APM (non-residential),24/7/2020,"2833, 3198",2
Sai Kung,Bauhinia Garden Commercial Complex (non-residential),24/7/2020,2670,1
Islands,Bela Vista Villa (non-residential),24/7/2020,3615,1
Kwun Tong,"Block I, Telford Gardens (non-residential)",24/7/2020,2994,1
Yau Tsim Mong,Camy House (non-residential),24/7/2020,2615,1
Eastern,Cape Collinson Crematorium (non-residential),24/7/2020,3395,1
Eastern,Cheerful Garden (non-residential),24/7/2020,2824,1
Tuen Mun,Chelsea Heights Fairwood (non-residential),24/7/2020,2421,1
Kwai Tsing,Cheung Fat Plaza Maritime Market (non-residential),24/7/2020,2389,1
Sham Shui Po,Cheung Sha Wan Po On Road Market (non-residential),24/7/2020,"2234, 2410",2
Kowloon City,Ching Long Shopping Centre (non-residential),24/7/2020,"1695, 2109, 2164, 2448",4
Wong Tai Sin,Choi Wan Commerical Complex (non-residential),24/7/2020,"1361, 1401, 1767, 2379, 3223",5
Wong Tai Sin,Choi Wan Shopping Centre Phase 3 (non-residential),24/7/2020,3223,1
Wong Tai Sin,Chuk Yuen Plaza (non-residential),24/7/2020,"1547, 1750, 1939, 2104, 2803",5
Kwun Tong,Crocodile Center McDonald’s (non-residential),24/7/2020,3535,1
Yau Tsim Mong,CTMA Centre Yadllie Plate (non-residential),24/7/2020,3369,1
Sham Shui Po,Dragon Centre (non-residential),24/7/2020,2482,1
Central & Western,Euro Trade Centre (non-residential),24/7/2020,"2143, 2522",2
North,Fanling Centre (non-residential),24/7/2020,"1975, 2053, 2357, 3405",4
Sham Shui Po,Festival Walk (non-residential),24/7/2020,"1594, 1699, 1786, 1896, 2099, 2948",6
Eastern,Fortress Metro Tower McDonald's (non-residential),24/7/2020,2890,1
Tai Po,Fortune Plaza (non-residential),24/7/2020,2854,1
Tai Po,Fortune Plaza McDonald's (non-residential),24/7/2020,"2090, 2854",2
North,Fung Ying Seen Koon (non-residential),24/7/2020,"2495, 2717, 2843",3
Central & Western,Fung Yip Building (non-residential),24/7/2020,3158,1
Yau Tsim Mong,Ginza Square Chef Hung Taiwanese Beef Noodles (non-residential),24/7/2020,2475,1
Yuen Long,Ha Mei San Tsuen Road 華嫂冰室 (non-residential),24/7/2020,2696,1
Wan Chai,Hay Wah Building Tung Yuen Banquet (non-residential),24/7/2020,2595,1
Eastern,Heng Sang Mansion 19 Taikoo Shing Road (non-residential),24/7/2020,2848,1
Eastern,Heng Sang Mansion Taikoo Shing (non-residential),24/7/2020,2848,1
Wan Chai,Hip Sang Building 雲桂川風味米線 (non-residential),24/7/2020,2411,1
Kowloon City,Home World The Whampoa (non-residential),24/7/2020,3039,1
Yau Tsim Mong,HSBC Building Mong Kok (non-residential),24/7/2020,4039,1
Yau Tsim Mong,Hung Cheung Building Hee Wan Café (non-residential),24/7/2020,"2386, 2689",2
Wan Chai,Immigration Tower (non-residential),24/7/2020,"1542, 1584, 1765, 2104, 2134, 2448",6
Tsuen Wan,International Trade Centre (non-residential),24/7/2020,2751,1
Wan Chai,Jade Pearl Plaza (non-residential),24/7/2020,2943,1
Eastern,Java Road Municipal Services Building (non-residential),24/7/2020,"2299, 2468",2
Kwun Tong,Kai Yip Shopping Centre (non-residential),24/7/2020,"1809, 1836, 2446",3
Kwun Tong,Kai Yip Shopping Centre Green River Restaurant (non-residential),24/7/2020,2446,1
Central & Western,Kam Sang Building (non-residential),24/7/2020,2656,1
Tuen Mun,Kin Sang Shopping Centre (non-residential),24/7/2020,2819,1
Kwai Tsing,Kwai Chung Plaza (non-residential),24/7/2020,"1820, 1996, 2332, 2455, 2465, 2602",6
North,Kwong Sun Hong Godown (non-residential),24/7/2020,2493,1
Kwun Tong,Kwun Tong Plaza (non-residential),24/7/2020,"2784, 2833",2
Yau Tsim Mong,Lai Ying Building (non-residential),24/7/2020,2960,1
Yau Tsim Mong,Langham Place (non-residential),24/7/2020,"1297, 1641, 2008, 2186, 3369",5
Kwun Tong,Lei Yue Mun Plaza (non-residential),24/7/2020,"1868, 2425, 2647, 2656",4
Kwun Tong,Lok Wah Shopping Centre McDonald's (non-residential),24/7/2020,2709,1
North,Luen Wo Market (non-residential),24/7/2020,2548,1
Kwai Tsing,Maritime Market (non-residential),24/7/2020,2389,1
Sha Tin,Mei Lam Commercial Centre (non-residential),24/7/2020,3066,1
Wan Chai,Methodist Church (non-residential),24/7/2020,3395,1
Sai Kung,Metro City Phase 1 Trusty Congee King (non-residential),24/7/2020,2412,1
Yau Tsim Mong,Metro Harbour Plaza 豪庭藝廚 (non-residential),24/7/2020,3102,1
Yau Tsim Mong,Metropark Hotel Kowloon (non-residential),24/7/2020,2973,1
Yau Tsim Mong,Moko Food Opera (non-residential),24/7/2020,2916,1
Sai Kung,MTR Tiu Keng Leng Station (non-residential),24/7/2020,3155,1
Yau Tsim Mong,New Mandarin Plaza (non-residential),24/7/2020,3490,1
Kowloon City,Oi Man Plaza Café 100% (non-residential),24/7/2020,"2110, 2900",2
Kowloon City,Oi Man Plaza Fairwood (non-residential),24/7/2020,2900,1
Wan Chai,Paliburg Plaza Din Tai Fung (non-residential),24/7/2020,2584,1
Kowloon City,Pearl House (non-residential),24/7/2020,2401,1
Sham Shui Po,Pei Ho Street Municipal Services Building (non-residential),24/7/2020,"1557, 1608, 1611, 1808, 1852, 1905, 1926, 1927, 2056, 2057, 2140, 2186, 2283, 2292, 2482, 2652",16
Kwun Tong,Ping Shek Estate Market (non-residential),24/7/2020,"1455, 1710, 2674",3
Tuen Mun,Prime View Garden Commercial Arcade (non-residential),24/7/2020,"2590, 2592, 3090",3
Central & Western,Prosperity Tower Starbucks Coffee (non-residential),24/7/2020,3102,1
Tuen Mun,Richland Garden Shopping Arcade 小桃園餐廳小廚 (non-residential),24/7/2020,2769,1
Kwun Tong,Richland Gardens Commercial Building Fairwood (non-residential),24/7/2020,"1808, 2448",2
Sha Tin,Royal Park Hotel (non-residential),24/7/2020,2882,1
North,SAHK Jockey Club Bradbury Wah Sum Care Centre (non-residential),24/7/2020,2633,1
Kwun Tong,Sau Mau Ping Shopping Centre Café de Coral (non-residential),24/7/2020,"2440, 2449",2
Tsuen Wan,Shek Wai Kok Estate Commercial Complex (non-residential),24/7/2020,2443,1
Kwun Tong,Shui Wo Street Municipal Services Building (non-residential),24/7/2020,"1512, 1672, 1802, 1884, 2124, 2849",6
Kwun Tong,Shun Lee Disciplined Services Quarters (non-residential),24/7/2020,"2494, 2496",2
Yuen Long,Siu Fung Building (non-residential),24/7/2020,2722,1
Wan Chai,St. Paul's Hospital (non-residential),24/7/2020,"2029, 2657",2
Yau Tsim Mong,Star House McDonald's (non-residential),24/7/2020,2399,1
Islands,Super Terminal 1 (non-residential),24/7/2020,2497,1
Tai Po,Tai Po Plaza Sushi Express (non-residential),24/7/2020,2486,1
Kwun Tong,Telford Plaza II (non-residential),24/7/2020,3016,1
Tsuen Wan,The Mills New Big Light (non-residential),24/7/2020,2751,1
Wan Chai,Thomson Centre Cheung Hing Kee Shanghai Pan-fried Buns (non-residential),24/7/2020,2650,1
Kowloon City,To Kwa Wan Maket and Government Offices (non-residential),24/7/2020,"1498, 1620, 1716, 1754, 2265, 2296, 2322, 2338, 2496, 3669",10
Kowloon City,To Kwa Wan Market (non-residential),24/7/2020,"2338, 2496",2
Kwun Tong,Tsuen Shek House Ping Shek Estate (non-residential),24/7/2020,"1904, 3290",2
Tsuen Wan,Tsuen Tak Gardens Kam Fook Shanghai Restaurant (non-residential),24/7/2020,2751,1
Kwun Tong,Tsui Ping Commercial Complex (non-residential),24/7/2020,2807,1
Kwun Tong,Tsui Ping Shopping Centre (non-residential),24/7/2020,2655,1
Tuen Mun,Tuen Mun Police Station (non-residential),24/7/2020,2686,1
Tuen Mun,Tuen Mun Town Plaza Phase 2 (non-residential),24/7/2020,2841,1
Tuen Mun,Tuen Mun Treatment Works (non-residential),24/7/2020,"2374, 2421, 2615",3
Central & Western,Two Chinachem Plaza (non-residential),24/7/2020,"2389, 2489",2
North,"Unit No.1, G/F & 1/F, Shun Ming House, Wah Ming Estate (non-residential)",24/7/2020,2698,1
Southern,University Hall The University of Hong Kong (non-residential),24/7/2020,"2485, 2561",2
Tai Po,Uptown Plaza Café de Coral (non-residential),24/7/2020,2692,1
Eastern,Victor Court Angus Café (non-residential),24/7/2020,2890,1
Yuen Long,Wai Kee BBQ (non-residential),24/7/2020,2410,1
Wan Chai,Wanchai Market (non-residential),24/7/2020,2907,1
Yau Tsim Mong,Y.M.C.A. of Hong Kong Mall Café (non-residential),24/7/2020,2538,1
Kowloon City,Yee On Court (non-residential),24/7/2020,"2289, 2476, 2546, 2722, 3102, 3154, 3165, 3205, 3224",9
Sha Tin,Yiu Po Mansion McDonald's (non-residential),24/7/2020,3148,1
Kwun Tong,Yue Man Centre Wealth Banquet (non-residential),24/7/2020,2496,1
Wan Chai,Yue Xiu Building (non-residential),24/7/2020,3137,1
Sham Shui Po,"130 & 132 Broadway, Stage VIII, Mei Foo Sun Chuen (non-residential)",25/7/2020,3269,1
Kowloon City,25B Hau Wong Road (non-residential),25/7/2020,"3021, 3126",2
Wong Tai Sin,26 Kam Chi Path 幸福茶餐廳 (non-residential),25/7/2020,3290,1
Central & Western,Admiralty Centre Tower 1 (non-residential),25/7/2020,2768,1
Kwun Tong,Amoy Gardens Phase 2 Victoria Harbour Restaurant (non-residential),25/7/2020,2525,1
Sai Kung,Beverly Garden Shopping Centre (non-residential),25/7/2020,2537,1
Sha Tin,"Block 5, Royal Ascot (non-residential)",25/7/2020,2742,1
North,Cambridge Plaza (non-residential),25/7/2020,3220,1
Eastern,Chai Wan Municipal Services Building (non-residential),25/7/2020,3155,1
Kowloon City,Chatham Place (non-residential),25/7/2020,3039,1
Tsuen Wan,Cheung Shan Shopping Centre (non-residential),25/7/2020,2509,1
Wong Tai Sin,Choi Wan Commercial Complex Fairwood (non-residential),25/7/2020,2547,1
Wong Tai Sin,Choi Wan Commercial Complex MoMo Restaurant (non-residential),25/7/2020,2547,1
Wong Tai Sin,Choi Wan Commercial Complex Super Super Congee & Noodle (non-residential),25/7/2020,2547,1
Wong Tai Sin,Choi Wan Estate Cheung Bor House (non-residential),25/7/2020,2680,1
Yau Tsim Mong,Chong Hing Square (non-residential),25/7/2020,"2070, 2540",2
Wan Chai,Chuang's Enterprises Building Stellar House (non-residential),25/7/2020,2960,1
Yau Tsim Mong,Chun Hoi Commercial Building (non-residential),25/7/2020,2824,1
Yau Tsim Mong,Chung Mei Building (non-residential),25/7/2020,3102,1
Sha Tin,CityLink Plaza (non-residential),25/7/2020,"2634, 2696",2
Sha Tin,CityLink Plaza Little NanYang (non-residential),25/7/2020,2916,1
Yau Tsim Mong,Companion Court (non-residential),25/7/2020,2847,1
Sai Kung,Crowne Plaza Hong Kong Kowloon (non-residential),25/7/2020,2536,1
Sham Shui Po,Customs Marine Base (non-residential),25/7/2020,2597,1
Sham Shui Po,D2 Place Two Golden Phoenix Restaurant (non-residential),25/7/2020,3046,1
Kwai Tsing,Dorsett Tsuen Wan (non-residential),25/7/2020,"1464, 1938, 2614",3
Sham Shui Po,Dragon Centre The Palace (non-residential),25/7/2020,"1864, 2540",2
Wan Chai,East Point Centre (non-residential),25/7/2020,"2032, 2857, 2943, 2945",4
Sham Shui Po,Eastland Towers Dragon Place Restaurant (non-residential),25/7/2020,"2201, 2358",2
Wan Chai,Empire Hotel (non-residential),25/7/2020,2411,1
Sha Tin,Ever Gain Centre (non-residential),25/7/2020,3018,1
Tai Po,Fortune Plaza (non-residential),25/7/2020,"1806, 2090, 2617, 2854",4
Tai Po,Fortune Plaza Here (non-residential),25/7/2020,2854,1
Tai Po,Fortune Plaza Shopping Centre (non-residential),25/7/2020,2617,1
Wong Tai Sin,Fung Tak Shopping Centre (non-residential),25/7/2020,"1956, 1689, 1963, 1773, 1868, 3184",6
Sha Tin,G.C.C.I.T.K.D. Lau Pak Lok Secondary School (non-residential),25/7/2020,2634,1
Central & Western,Graham Market (non-residential),25/7/2020,3137,1
Yau Tsim Mong,Grand Plaza (non-residential),25/7/2020,"2164, 2574",2
Yau Tsim Mong,Grand Plaza Cheers Restaurant (non-residential),25/7/2020,2547,1
Kowloon City,Healthy House (non-residential),25/7/2020,2569,1
Sha Tin,Heng On Commercial Centre (non-residential),25/7/2020,3490,1
Central & Western,Hing Wong Building Tsui Woo Seafood Restaurant (non-residential),25/7/2020,2602,1
Kwun Tong,Hip Wo House (non-residential),25/7/2020,"2124, 2849",2
Eastern,HKSH Eastern Medical Centre (non-residential),25/7/2020,"2822, 2854",2
Southern,Hoi Lung Court Aberdeen Centre Hainan South (non-residential),25/7/2020,2825,1
Eastern,Hoi Ning Building (non-residential),25/7/2020,2658,1
Islands,Hong Kong Disneyland ODV Staff Canteen (non-residential),25/7/2020,2620,1
Southern,Hong Kong Reese Hotel (non-residential),25/7/2020,2485,1
Wan Chai,Hong Kong Sanatorium & Hospital (non-residential),25/7/2020,"1848, 2181, 2468, 2522, 2559",5
Wan Chai,Hopewell Centre Cuisine Royale (non-residential),25/7/2020,2559,1
Wong Tai Sin,Hsin Kuang Centre Fulum Palace (non-residential),25/7/2020,"1598, 2298, 2510",3
Kowloon City,Hunghom Square (non-residential),25/7/2020,3039,1
Eastern,I-UNIQ Residence (non-residential),25/7/2020,2677,1
Tuen Mun,Jockey Club Tuen Mun Home for the Aged Blind (non-residential),25/7/2020,2970,1
Tuen Mun,Kai Hei Land Building (non-residential),25/7/2020,2759,1
Kwun Tong,Kai Tin Shopping Centre (non-residential),25/7/2020,2710,1
Tai Po,Kee Wah Production Centre (non-residential),25/7/2020,2912,1
Yau Tsim Mong,Kimlai Court (non-residential),25/7/2020, notified by Taiwan Centers for Disease Control,1
Sha Tin,Kings Wing Plaza 1 (non-residential),25/7/2020,3018,1
Yau Tsim Mong,Kowloon Bowling Green Club (non-residential),25/7/2020,2579,1
Kowloon City,Kowloon City Municipal Services Building (non-residential),25/7/2020,"1918, 3051",2
Kwai Tsing,Kwai Fong Plaza Hakka Cuisine (non-residential),25/7/2020,2602,1
Kwai Tsing,Kwai Shing East Shopping Centre (non-residential),25/7/2020,"2023, 2514",2
Kwai Tsing,Lai King Estate Yat King House 復興粥麵專家 (non-residential),25/7/2020,2602,1
Tuen Mun,Lam Tei Market (non-residential),25/7/2020,2620,1
Wan Chai,Lok Sing Centre (non-residential),25/7/2020,2812,1
Kwun Tong,Lok Wah Market (non-residential),25/7/2020,2525,1
Kwun Tong,Lok Wah Shopping Centre Ming Harbour Restaurant (non-residential),25/7/2020,2525,1
Kowloon City,Lung Cheung Court 添財記 (non-residential),25/7/2020,2569,1
North,Lung Fung Garden Shopping Arcade (non-residential),25/7/2020,"2157, 2178, 2311, 2912",4
Sha Tin,Lung Hang Shopping Centre (non-residential),25/7/2020,2815,1
Kwai Tsing,Mai Wah Industrial Building (non-residential),25/7/2020,2599,1
Yau Tsim Mong,Mass Resources Development Building Pizza Hut (non-residential),25/7/2020,3535,1
Sham Shui Po,Mei Foo Plaza Capital Canton (non-residential),25/7/2020,2568,1
Sha Tin,Mei Lam Shopping Centre (non-residential),25/7/2020,2816,1
Sha Tin,Mei Tin Shopping Centre (non-residential),25/7/2020,"2136, 3105",2
Yau Tsim Mong,MOKO Outback Steakhouse (non-residential),25/7/2020,2546,1
Kwun Tong,Morning Light Building TamJai SamGor (non-residential),25/7/2020,2603,1
Sham Shui Po,Mount Sterling Mall (non-residential),25/7/2020,2771,1
North,MTR Fanling Station Maxim's MX (non-residential),25/7/2020,2843,1
North,MTR Fanling Station MX (non-residential),25/7/2020,2843,1
Southern,Murray House King Ludwig Beerhall (non-residential),25/7/2020,3070,1
Central & Western,New Fortune House Little Creatures (non-residential),25/7/2020,2603,1
Kowloon City,Oi Man Plaza (non-residential),25/7/2020,"2641, 2900",2
Kwun Tong,Oi Tat House On Tat Estate (non-residential),25/7/2020,3490,1
Yuen Long,One Sky Mall (non-residential),25/7/2020,"2751, 2752",2
Yau Tsim Mong,Peninsula Centre Tack Hsin Restaurant (non-residential),25/7/2020,2572,1
Sai Kung,Popcorn Starbucks Coffee (non-residential),25/7/2020,2571,1
Central & Western,Prince's Building (non-residential),25/7/2020,2768,1
Kowloon City,Radio Television Hong Kong Broadcasting House (non-residential),25/7/2020,2539,1
Tsuen Wan,Rhine Garden Shopping Centre (non-residential),25/7/2020,2624,1
Tsuen Wan,Riviera Gardens 金莎堡茶餐廳 (non-residential),25/7/2020,3179,1
Wan Chai,Senior Building (non-residential),25/7/2020,2490,1
North,Shek Wu Hui Municipal Services Building (non-residential),25/7/2020,"1947, 1989, 2053, 2072, 2179, 2284, 2393, 2576, 2912",9
North,Sheung Shui Slaughterhouse (non-residential),25/7/2020,"2671, 2770, 2806, 2849, 2952",5
Sai Kung,Sheung Tak Plaza (non-residential),25/7/2020,"2473, 2608",2
Sha Tin,Sin Sam House Lung Hung Estate (non-residential),25/7/2020,2580,1
Central & Western,Smithfield Municipal Services Building (non-residential),25/7/2020,"2531, 2753",2
Yau Tsim Mong,South Seas Centre Paramount Banquet Hall (non-residential),25/7/2020,"2083, 2170, 2572",3
Wan Chai,Spring Garden Mansion (non-residential),25/7/2020,2559,1
Yau Tsim Mong,Stanford Hillview Hotel (non-residential),25/7/2020,2536,1
Yau Tsim Mong,Summit Insurance Building 金滿樓 (non-residential),25/7/2020,2540,1
Kowloon City,Summit View Kowloon (non-residential),25/7/2020,2546,1
Central & Western,Sussex Court (non-residential),25/7/2020,3137,1
Tsuen Wan,Tai Hung Fai (Tsuen Wan) Centre (non-residential),25/7/2020,2878,1
Wong Tai Sin,Tai Shing Street Market (non-residential),25/7/2020,"1439,1599, 1618, 1757, 1914, 2275, 2415, 2423, 2510, 2792",10
Yuen Long,Tai Tong Road Cooked Food Market (non-residential),25/7/2020,2562,1
Sha Tin,Tai Wai Market (non-residential),25/7/2020,"2583, 2816",2
Sha Tin,Tai Wai MTR Station (non-residential),25/7/2020,2854,1
Sha Tin,Tai Wai MTR Station Fairwood (non-residential),25/7/2020,3162,1
Wong Tai Sin,Temple Mall (non-residential),25/7/2020,"2201, 2380, 2784",3
Central & Western,The Landmark (non-residential),25/7/2020,2824,1
Kowloon City,The Whampoa (non-residential),25/7/2020,"1848, 2002, 2244, 2539, 2579, 2739, 3193, 3194",8
Kwun Tong,Tin Yiu House Shun Tin Estate (non-residential),25/7/2020,2737,1
Sai Kung,TKO Gateway (non-residential),25/7/2020,"1590, 1983, 2123, 2330, 2479, 2572, 2670",7
Kwai Tsing,Trans Asia Centre (non-residential),25/7/2020,"3077, 3265",2
Sai Kung,Tseung Kwan O Plaza (non-residential),25/7/2020,"2537, 2608",2
Kwai Tsing,Tsing Yi South Fire Station (non-residential),25/7/2020,"2391, 2475, 2496, 2723",4
Tsuen Wan,Tsuen Wan Catholic Primary School (non-residential),25/7/2020,3254,1
Tsuen Wan,Tsuen Wan Market (non-residential),25/7/2020,"2624, 2686, 3244",3
Tsuen Wan,Tsui Shan House Cheung Shan Estate (non-residential),25/7/2020,"2509, 3117",2
Sham Shui Po,Tung Lee Building (non-residential),25/7/2020,3269,1
Kowloon City,Universal Funeral Parlour (non-residential),25/7/2020,2395,1
Tai Po,Uptown Plaza McDonald's (non-residential),25/7/2020,"2180, 2696",2
Sham Shui Po,Wang Tak Building (non-residential),25/7/2020,3269,1
Tsuen Wan,Yen Wai Garden 秘Secret Chefs (non-residential),25/7/2020,3097,1
Kowloon City,Yue Luen Mansion (non-residential),25/7/2020,3019,1
Tai Po,Yuet Fat Mansion Da Moon-Thai Cafe & Restaurant (non-residential),25/7/2020,3490,1
Tai Po,Zone A Tai Po Mega Mall (non-residential),25/7/2020,3490,1
Kwai Tsing,130 Chung Mei Lo Uk Village 名坊 (non-residential),26/7/2020,2690,1
Islands,25 San Hing Praya Street (non-residential),26/7/2020,3079,1
Yau Tsim Mong,46 Jordan Road TamJai SamGor (non-residential),26/7/2020,3057,1
Wan Chai,68 Yee Woo Street Din Tai Fung (non-residential),26/7/2020,3145,1
Yuen Long,8 Fuk Wang Street (non-residential),26/7/2020,2696,1
Kwun Tong,APM cookedDeli by city'super (non-residential),26/7/2020,2696,1
Kwun Tong,APM Pho Le (non-residential),26/7/2020,2742,1
Yau Tsim Mong,Argyle Centre (non-residential),26/7/2020,2949,1
Sai Kung,Bauhinia Garden (non-residential),26/7/2020,3423,1
Islands,Bela Vista Villa (non-residential),26/7/2020,"3079, 3291, 3615, 3857",4
Kwai Tsing,"Block B, Marvel Industrial Building (non-residential)",26/7/2020,2690,1
Yau Tsim Mong,Capricorn Centre (non-residential),26/7/2020,2651,1
Islands,Cathay Pacific Cargo Terminal (non-residential),26/7/2020,"2848, 3353",2
Central & Western,Central Market (non-residential),26/7/2020,3251,1
Sham Shui Po,Chak On Estate Lai Chak House (non-residential),26/7/2020,2700,1
Tsuen Wan,Cheong Lock Mansion (non-residential),26/7/2020,2693,1
Kwai Tsing,Cheung Hong Estate Commercial Complex No.1 Hei Yuet Palace (non-residential),26/7/2020,3247,1
Tuen Mun,Chi Lok Fa Yuen (non-residential),26/7/2020,2989,1
Yau Tsim Mong,China Hong Kong City Mixian Sense (non-residential),26/7/2020,2790,1
Kwai Tsing,China Merchants Logistics Centre (non-residential),26/7/2020,2690,1
Kowloon City,Ching Long Shopping Centre Golden Phoenix (non-residential),26/7/2020,"1808, 2825",2
Eastern,Cityplaza (non-residential),26/7/2020,"1376, 1752, 2787",3
Yau Tsim Mong,Cmb Wing Lung Bank Centre (non-residential),26/7/2020,2825,1
Central & Western,Coda Plaza (non-residential),26/7/2020,3251,1
Southern,"Commercial Complex, Wah Fu Estate (non-residential)",26/7/2020,2663,1
Yau Tsim Mong,Dorsett MongKok Hong Kong (non-residential),26/7/2020,2772,1
Sham Shui Po,Elegance Court McDonald's (non-residential),26/7/2020,2728,1
Yau Tsim Mong,ELEMENTS (non-residential),26/7/2020,"1715, 3057",2
Kwai Tsing,Florentia Village (non-residential),26/7/2020,2663,1
Kwai Tsing,Fook Yip Building 利口坊茶餐粉麵小廚 (non-residential),26/7/2020,2690,1
Tai Po,Fortune Plaza Yuen Kee Noodle (non-residential),26/7/2020,2696,1
Kowloon City,Franki Center Carpark (non-residential),26/7/2020,2994,1
Tuen Mun,Fu Tai Shopping Centre (non-residential),26/7/2020,"1731, 2649",2
Wong Tai Sin,Fung Tak Shopping Centre (non-residential),26/7/2020,"1956, 1689, 1963, 1773, 1868, 2891, 3184",7
Eastern,H21 Golden Star Seafood Restaurant (non-residential),26/7/2020,3118,1
Central & Western,Haking Wong Building The University of Hong Kong Union Restaurant (EAT) (non-residential),26/7/2020,"3432, 3588",2
Tuen Mun,Hanford Plaza (non-residential),26/7/2020,2759,1
Kwai Tsing,Hang King Shopping Arcade Kam Chiu Kitchen (non-residential),26/7/2020,2690,1
Wan Chai,Harbour Centre Triple O's by White Spot (non-residential),26/7/2020,2696,1
Sha Tin,Heng On Shopping Centre (non-residential),26/7/2020,"2267, 2697",2
Sha Tin,Hilton Plaza (non-residential),26/7/2020,"2012, 2529, 3456",3
Kwai Tsing,Hing Yat House Kwai Hing Estate (non-residential),26/7/2020,2690,1
North,Hong Kong Baptist Assembly (non-residential),26/7/2020,2696,1
Wan Chai,Hong Kong Convention and Exhibition Centre (non-residential),26/7/2020,3348,1
Central & Western,IFC Shake Shack (non-residential),26/7/2020,3079,1
Wan Chai,iHome Centre (non-residential),26/7/2020,2696,1
Wan Chai,Immigration Tower (non-residential),26/7/2020,"1542, 1584, 1765, 2104, 2134, 2448, 2696",7
Kwai Tsing,Join-in Hang Sing Centre (non-residential),26/7/2020,2690,1
Yau Tsim Mong,K11 Art Mall (non-residential),26/7/2020,3346,1
Wong Tai Sin,Kam Pik House Choi Hung Estate (non-residential),26/7/2020,"1612, 1671, 2009, 2032, 2766, 2897",6
Sai Kung,King Nam House King Lam Estate (non-residential),26/7/2020,2640,1
Eastern,Kornhill Plaza TeaWood Taiwanese Cafe & Restaurant (non-residential),26/7/2020,3070,1
Kwai Tsing,Kwai Chung Plaza (non-residential),26/7/2020,"1820, 1996, 2332, 2455, 2459, 2465, 2602, 3018",8
Kwai Tsing,Kwai Chung Shopping Centre (non-residential),26/7/2020,3117,1
Kwai Tsing,Kwai Shun Industrial Centre (non-residential),26/7/2020,2690,1
Sham Shui Po,Lai Cheong Factory Building (non-residential),26/7/2020,2667,1
Sham Shui Po,Lai Wan Market (non-residential),26/7/2020,2771,1
Kwun Tong,Lei Yue Mun Municipal Services Building (non-residential),26/7/2020,"2634, 2647, 2656",3
Kwai Tsing,Life@KCC MOS Burger (non-residential),26/7/2020,2663,1
Wong Tai Sin,Lok Fu Place (non-residential),26/7/2020,"1695, 1774, 2191, 2786, 2792",5
