District,Building name,Last date of residence of the (s),Related probable/confirmed s,Number of cases
Tsuen Wan,Bo Shek Mansion (non-residential),13/7/2020,1887,1
Kwun Tong,Camel Paint Building (non-residential),13/7/2020,1698,1
Wan Chai,China Overseas Building (non-residential),13/7/2020,"1584, 1622",2
Wong Tai Sin,Choi Fai Estate Choi Yip House  (non-residential),13/7/2020,1767,1
Wong Tai Sin,Choi Wan Commerical Complex Ho Choi Restaurant (non-residential),13/7/2020,1767,1
Kwai Tsing,Chun Shing Factory Estate (non-residential),13/7/2020,1887,1
Wan Chai,College of Nursing Hong Kong (non-residential),13/7/2020,1564,1
Sham Shui Po,"Cooked Food Centre, Pei Ho Street Municipal Services Building (non-residential)",13/7/2020,"1435, 1558",2
Sai Kung,East Point City (non-residential),13/7/2020,1751,1
Yau Tsim Mong,ELEMENTS Sen-ryo (non-residential),13/7/2020,1578,1
Kwun Tong,Elite Centre (non-residential),13/7/2020,1661,1
Yau Tsim Mong,Gascoigne Road Lands Tribunal (non-residential),13/7/2020,1672,1
Yau Tsim Mong,Gateway Arcade cookedDeli by city'super (non-residential),13/7/2020,"1746, 1771",2
Sham Shui Po,Golden Café (Shun Ning Road Shop) (non-residential),13/7/2020,1542,1
Yau Tsim Mong,Hang Seng 113 (non-residential),13/7/2020,1799,1
Sham Shui Po,"Happy Building, Hak Ka Hut (non-residential)",13/7/2020,1545,1
Kowloon City,Hong Kong Baptist Hospital (non-residential),13/7/2020,"1314, 1364, 1557, 1644",4
Kowloon City,Hong Kong Baptist University (non-residential),13/7/2020,1628,1
Kowloon City,Hong Kong Housing Authority Headquarters (non-residential),13/7/2020,1593,1
Sham Shui Po,Hung Cheong Factory Building (non-residential),13/7/2020,1619,1
Kowloon City,Hunghom Two Harbourfront (non-residential),13/7/2020,1638,1
North,Kerry Warehouse (Sheung Shui) (non-residential),13/7/2020,2230,1
Sha Tin,Kings Wing Plaza 1 (non-residential),13/7/2020,1506,1
Kwai Tsing,Kwai Chung Plaza Café de Coral (non-residential),13/7/2020,1622,1
Yuen Long,Kwong Wah Plaza (non-residential),13/7/2020,2139,1
Kwun Tong,Lam Shek House Ping Shek Estate (non-residential),13/7/2020,1710,1
Sha Tin,Lek Yuen Shopping Centre 富東閣海鮮酒家 (non-residential),13/7/2020,"1372, 1434",2
Wong Tai Sin,Lok Fu Place Café de Coral (non-residential),13/7/2020,1622,1
Wong Tai Sin,Lung Cheung Office Block (non-residential),13/7/2020,1622,1
Kwun Tong,Manulife Tower (non-residential),13/7/2020,1747,1
Kwai Tsing,Maritime Square 1 (non-residential),13/7/2020,1751,1
Kwai Tsing,Maritime Square 1 TeaWood Taiwanese Café and Restaurant (non-residential),13/7/2020,1751,1
Wan Chai,Markfield Building (non-residential),13/7/2020,1607,1
Sham Shui Po,Mei Kwai House Nunchaku Restaurant (non-residential),13/7/2020,1647,1
Tuen Mun,Ming Wai Building (non-residential),13/7/2020,1858,1
Yau Tsim Mong,MTR Hung Hom Station McDonalds (non-residential),13/7/2020,2363,1
Sham Shui Po,Nam Shan Shopping Centre (non-residential),13/7/2020,1622,1
Yau Tsim Mong,"New Kowloon Plaza, Ming Garden Restaurant (non-residential)",13/7/2020,1488,1
Wong Tai Sin,"No. 32, Tseuk Luk Street (non-residential)",13/7/2020,1862,1
Tsuen Wan,OP Mall (non-residential),13/7/2020,1732,1
Sham Shui Po,Pei Ho Street Municipal Services Building (non-residential),13/7/2020,"1557, 1608, 1611, 1852",4
Sham Shui Po,Pei Ho Street Municipal Services Building Cooked Food Centre (non-residential),13/7/2020,"1435, 1558",2
Kwun Tong,Ping Shek Estate Podium 富港酒家 (non-residential),13/7/2020,1869,1
Sai Kung,Po Lam Shopping Centre (non-residential),13/7/2020,"1501, 1558",2
Sham Shui Po,Precious Blood Hospital (non-residential),13/7/2020,1524,1
North,Sha Tau Kok Road Lung Yeuk Tau no. 18 (non-residential),13/7/2020,1672,1
Tuen Mun,Shan King Commercial Centre (non-residential),13/7/2020,"1734, 2005",2
Central & Western,Shek Tong Tsui Municipal Services Building (non-residential),13/7/2020,1745,1
Sham Shui Po,Smiling Plaza (non-residential),13/7/2020,1557,1
Wong Tai Sin,Tai Shing Street Market (non-residential),13/7/2020,"1439, 1618",2
Sha Tin,Tak On Building (non-residential),13/7/2020,1584,1
